Year,Units,Sex,Age,Region,County,Local Authority,Disability status,Ethnicity,Ethnic group,Employment status,GeoCode,Value
2012,Percentage (%),,,,,Luton,,,,,E06000032,77.0
2012,Percentage (%),,,,,Peterborough,,,,,E06000031,82.3
2012,Percentage (%),,,,,Southend-on-Sea,,,,,E06000033,87.2
2012,Percentage (%),,,,,Suffolk,,,,,E12000006,79.7
2012,Percentage (%),,,,,Thurrock,,,,,E06000034,78.0
2012,Percentage (%),,,East of England,,,,,,,E12000006,83.0
2012,Percentage (%),,,London,,,,,,,E12000007,84.6
2012,Percentage (%),,,,,Darlington,,,,,E06000005,77.1
2012,Percentage (%),,,,,County Durham,,,,,E06000047,71.3
2012,Percentage (%),,,,,Hartlepool and Stockton-on-Tees,,,,,E12000001,75.6
2012,Percentage (%),,,,,Northumberland,,,,,E06000057,81.6
2012,Percentage (%),,,,,Middlesbrough,,,,,E06000002,77.2
2012,Percentage (%),,,,,Sunderland,,,,,E08000024,75.7
2012,Percentage (%),,,,,Tyneside,,,,,E12000001,77.3
2012,Percentage (%),,,North East,,,,,,,E12000001,76.3
2012,Percentage (%),,,,,Blackburn with Darwen,,,,,E06000008,74.7
2012,Percentage (%),,,,,Blackpool,,,,,E06000009,76.8
2012,Percentage (%),,,,,Carlisle,,,,,E07000028,75.8
2012,Percentage (%),,,,,Allerdale,,,,,E07000026,79.9
2012,Percentage (%),,,North West,,,,,,,E12000002,79.8
2012,Percentage (%),,,Northern Ireland,,,,,,,N92000002,72.3
2012,Percentage (%),,,,,Angus and Dundee City,,,,,S92000003,79.1
2012,Percentage (%),,,,,Clackmannanshire and Fife,,,,,S92000003,77.7
2012,Percentage (%),,,,,Dumfries  Galloway,,,,,S92000003,75.3
2012,Percentage (%),,,,,East Ayrshire and North Ayrshire mainland,,,,,S92000003,76.4
2012,Percentage (%),,,,,"East Dunbartonshire, West Dunbartonshire and Helensburgh  Lomond",,,,,S92000003,86.0
2012,Percentage (%),,,,,East Lothian and Midlothian,,,,,S92000003,90.7
2012,Percentage (%),,,,,"Edinburgh, City of",,,,,S92000003,86.6
2012,Percentage (%),,,,,Falkirk,,,,,S12000014,78.9
2012,Percentage (%),,,,,Glasgow City,,,,,S12000046,78.1
2012,Percentage (%),,,,,Highlands and Islands,,,,,S92000003,79.4
2012,Percentage (%),,,,,"Inverclyde, East Renfrewshire and Renfrewshire",,,,,S92000003,76.8
2012,Percentage (%),,,,,North Lanarkshire,,,,,S12000044,72.4
2012,Percentage (%),,,,,Perth  Kinross and Stirling,,,,,S92000003,78.4
2012,Percentage (%),,,,,Scottish Borders,,,,,S12000026,77.5
2012,Percentage (%),,,,,South Ayrshire,,,,,S12000028,77.6
2012,Percentage (%),,,,,South Lanarkshire,,,,,S12000029,74.9
2012,Percentage (%),,,,,West Lothian,,,,,S12000040,80.3
2012,Percentage (%),,,Scotland,,,,,,,S92000003,79.6
2012,Percentage (%),,,,,Berkshire,,,,,E12000008,89.3
2012,Percentage (%),,,,,Brighton and Hove,,,,,E06000043,86.7
2012,Percentage (%),,,South East,Buckinghamshire,,,,,,E10000002,89.6
2012,Percentage (%),,,,,East Sussex CC,,,,,E12000008,80.3
2012,Percentage (%),,,,,Isle of Wight,,,,,E06000046,76.6
2012,Percentage (%),,,,,Medway,,,,,E06000035,80.8
2012,Percentage (%),,,,,Milton Keynes,,,,,E06000042,88.4
2012,Percentage (%),,,,,Oxfordshire,,,,,E12000008,86.3
2012,Percentage (%),,,,,Portsmouth,,,,,E06000044,82.1
2012,Percentage (%),,,,,Southampton,,,,,E06000045,83.9
2012,Percentage (%),,,South East,,,,,,,E12000008,85.0
2012,Percentage (%),,,,,"Bath and North East Somerset, North Somerset and South Gloucestershire",,,,,E12000009,83.7
2012,Percentage (%),,,,,Bournemouth and Poole,,,,,E12000009,82.4
2012,Percentage (%),,,,,Bristol,,,,,E06000023,84.4
2012,Percentage (%),,,,,Cornwall and Isles of Scilly,,,,,E12000009,78.7
2012,Percentage (%),,,,,Devon CC,,,,,E12000009,82.3
2012,Percentage (%),,,,,Dorset CC,,,,,E12000009,80.7
2012,Percentage (%),,,,,Gloucestershire,,,,,E12000009,83.7
2012,Percentage (%),,,,,Plymouth,,,,,E06000026,84.1
2012,Percentage (%),,,,,Somerset,,,,,E12000009,80.3
2012,Percentage (%),,,,,Swindon,,,,,E06000030,83.2
2012,Percentage (%),,,,,Torbay,,,,,E06000027,81.7
2012,Percentage (%),,,,,Wiltshire,,,,,E06000054,84.3
2012,Percentage (%),,,South West,,,,,,,E12000009,82.4
2012,Percentage (%),,,,,Bridgend and Neath Port Talbot,,,,,W92000004,76.8
2012,Percentage (%),,,,,Cardiff and Vale of Glamorgan,,,,,W92000004,81.6
2012,Percentage (%),,,,,Central Valleys,,,,,W92000004,80.5
2012,Percentage (%),,,,,Conwy and Denbighshire,,,,,W92000004,77.2
2012,Percentage (%),,,,,Flintshire and Wrexham,,,,,W92000004,80.8
2012,Percentage (%),,,,,Gwent,,,,,W92000004,79.6
2012,Percentage (%),,,,,Gwynedd,,,,,W06000002,72.6
2012,Percentage (%),,,,,Isle of Anglesey,,,,,W06000001,74.6
2012,Percentage (%),,,,,Monmouthshire and Newport,,,,,W92000004,76.5
2012,Percentage (%),,,,,Powys,,,,,W06000023,68.1
2012,Percentage (%),,,,,Pembrokeshire,,,,,W06000009,75.5
2012,Percentage (%),,,,,Swansea,,,,,W06000011,77.0
2012,Percentage (%),,,Wales,,,,,,,W92000004,77.8
2012,Percentage (%),,,,,Birmingham,,,,,E08000025,76.1
2012,Percentage (%),,,,,Coventry,,,,,E08000026,78.2
2012,Percentage (%),,,,,Herefordshire,,,,,E06000019,72.7
2012,Percentage (%),,,,,Shropshire CC,,,,,E12000005,77.4
2012,Percentage (%),,,,,Solihull,,,,,E08000029,86.5
2012,Percentage (%),,,,,Staffordshire CC,,,,,E12000005,79.6
2012,Percentage (%),,,,,Stoke-on-Trent,,,,,E06000021,73.3
2012,Percentage (%),,,,,Telford and Wrekin,,,,,E06000020,74.8
2012,Percentage (%),,,,,Warwickshire,,,,,E12000005,82.7
2012,Percentage (%),,,,Worcestershire,,,,,,E10000034,78.8
2012,Percentage (%),,,West Midlands,,,,,,,E12000005,77.7
2012,Percentage (%),,,,,"Barnsley, Doncaster and Rotherham",,,,,,74.4
2012,Percentage (%),,,,,Bradford,,,,,E08000032,80.3
2012,Percentage (%),,,,,East Riding of Yorkshire,,,,,E06000011,75.7
2012,Percentage (%),,,,,Kingston upon Hull,,,,,E06000010,77.0
2012,Percentage (%),,,,,Leeds,,,,,E08000035,79.4
2012,Percentage (%),,,,,North and North East Lincolnshire,,,,,,78.0
2012,Percentage (%),,,,North Yorkshire,,,,,,E10000023,80.0
2012,Percentage (%),,,,,Sheffield,,,,,E08000019,81.3
2012,Percentage (%),,,,,York,,,,,E06000014,89.5
2012,Percentage (%),,,Yorkshire and the Humber,,,,,,,,78.8
2012,Percentage (%),,,,,,,Asian/Asian British,Bangladeshi,,,68.6
2012,Percentage (%),,,,,,,Black/African/Caribbean/Black British,,,,82.8
2012,Percentage (%),,,,,,,Asian/Asian British,Chinese,,,92.0
2012,Percentage (%),,,,,,,Asian/Asian British,Indian,,,79.6
2012,Percentage (%),,,,,,,Mixed/multiple ethnic groups,,,,92.5
2012,Percentage (%),,,,,,,Asian/Asian British,Any other Asian background,,,86.7
2012,Percentage (%),,,,,,,Other ethnic group,,,,86.9
2012,Percentage (%),,,,,,,Asian/Asian British,Pakistani,,,77.2
2012,Percentage (%),,,,,,,White,,,,80.7
2012,Percentage (%),,,,,,,,,Employed,,94.4
2012,Percentage (%),,,,,,,,,Government employment & training programmes,,91.6
2012,Percentage (%),,,,,,,,,Inactive,,71.5
2012,Percentage (%),,,,,,,,,Retired,,43.2
2012,Percentage (%),,,,,,,,,Self-employed,,90.9
2012,Percentage (%),,,,,,,,,Student,,98.8
2012,Percentage (%),,,,,,,,,Unemployed,,90.8
2012,Percentage (%),,,,,,,,,Unpaid family worker,,85.9
2012,Percentage (%),,,,,,,,,,,80.9
2013,Percentage (%),Female,16 to 24,,,,,,,,,98.3
2013,Percentage (%),Female,25 to 34,,,,,,,,,98.0
2013,Percentage (%),Female,35 to 44,,,,,,,,,96.0
2013,Percentage (%),Female,45 to 54,,,,,,,,,90.0
2013,Percentage (%),Female,55 to 64,,,,,,,,,80.4
2013,Percentage (%),Female,65 to 74,,,,,,,,,56.3
2013,Percentage (%),Female,75 and over,,,,,,,,,22.3
2013,Percentage (%),Female,,,,,,,,,,81.0
2013,Percentage (%),Male,16 to 24,,,,,,,,,98.3
2013,Percentage (%),Male,25 to 34,,,,,,,,,97.3
2013,Percentage (%),Male,35 to 44,,,,,,,,,95.7
2013,Percentage (%),Male,45 to 54,,,,,,,,,90.5
2013,Percentage (%),Male,55 to 64,,,,,,,,,82.2
2013,Percentage (%),Male,65 to 74,,,,,,,,,66.3
2013,Percentage (%),Male,75 and over,,,,,,,,,38.4
2013,Percentage (%),Male,,,,,,,,,,85.6
2013,Percentage (%),,16 to 24,,,,,,,,,98.3
2013,Percentage (%),,25 to 34,,,,,,,,,97.7
2013,Percentage (%),,35 to 44,,,,,,,,,95.8
2013,Percentage (%),,45 to 54,,,,,,,,,90.2
2013,Percentage (%),,55 to 64,,,,,,,,,81.3
2013,Percentage (%),,65 to 74,,,,,,,,,61.1
2013,Percentage (%),,75 and over,,,,,,,,,29.1
2013,Percentage (%),,,,,Derby,,,,,E06000015,89.6
2013,Percentage (%),,,,,East Derbyshire,,,,,E12000004,79.0
2013,Percentage (%),,,,,Leicester,,,,,E06000016,80.6
2013,Percentage (%),,,,,Leicestershire CC and Rutland,,,,,E12000004,83.1
2013,Percentage (%),,,,,Lincolnshire,,,,,E12000004,81.4
2013,Percentage (%),,,,,North Nottinghamshire,,,,,E10000024,77.6
2013,Percentage (%),,,,,Nottingham,,,,,E06000018,82.9
2013,Percentage (%),,,,,South and West Derbyshire,,,,,E12000004,84.0
2013,Percentage (%),,,,,South Nottinghamshire,,,,,E10000024,83.5
2013,Percentage (%),,,East Midlands,,,,,,,E12000004,83.0
2013,Percentage (%),,,,,Cambridgeshire CC,,,,,E12000006,84.2
2013,Percentage (%),,,,,Hertfordshire,,,,,E12000006,88.1
2013,Percentage (%),,,,,Luton,,,,,E06000032,91.3
2013,Percentage (%),,,,,Peterborough,,,,,E06000031,76.4
2013,Percentage (%),,,,,Southend-on-Sea,,,,,E06000033,82.1
2013,Percentage (%),,,,,Suffolk,,,,,E12000006,82.6
2013,Percentage (%),,,,,Thurrock,,,,,E06000034,87.7
2013,Percentage (%),,,East of England,,,,,,,E12000006,84.3
2013,Percentage (%),,,London,,,,,,,E12000007,87.8
2013,Percentage (%),,,,,Darlington,,,,,E06000005,74.4
2013,Percentage (%),,,,,County Durham,,,,,E06000047,77.4
2013,Percentage (%),,,,,Hartlepool and Stockton-on-Tees,,,,,E12000001,75.4
2013,Percentage (%),,,,,Northumberland,,,,,E06000057,84.3
2013,Percentage (%),,,,,Middlesbrough,,,,,E06000002,85.5
2013,Percentage (%),,,,,Sunderland,,,,,E08000024,79.7
2013,Percentage (%),,,,,Tyneside,,,,,E12000001,78.7
2013,Percentage (%),,,North East,,,,,,,E12000001,79.4
2013,Percentage (%),,,,,Blackburn with Darwen,,,,,E06000008,83.1
2013,Percentage (%),,,,,Blackpool,,,,,E06000009,79.1
2013,Percentage (%),,,,,Carlisle,,,,,E07000028,81.6
2013,Percentage (%),,,,,Allerdale,,,,,E07000026,76.1
2013,Percentage (%),,,North West,,,,,,,E12000002,81.9
2013,Percentage (%),,,Northern Ireland,,,,,,,N92000002,77.3
2013,Percentage (%),,,,,Angus and Dundee City,,,,,S92000003,80.1
2013,Percentage (%),,,,,Clackmannanshire and Fife,,,,,S92000003,83.1
2013,Percentage (%),,,,,Dumfries  Galloway,,,,,S92000003,81.7
2013,Percentage (%),,,,,East Ayrshire and North Ayrshire mainland,,,,,S92000003,77.5
2013,Percentage (%),,,,,"East Dunbartonshire, West Dunbartonshire and Helensburgh  Lomond",,,,,S92000003,84.1
2013,Percentage (%),,,,,East Lothian and Midlothian,,,,,S92000003,86.0
2013,Percentage (%),,,,,"Edinburgh, City of",,,,,S92000003,83.8
2013,Percentage (%),,,,,Falkirk,,,,,S12000014,91.4
2013,Percentage (%),,,,,Glasgow City,,,,,S12000046,80.0
2013,Percentage (%),,,,,Highlands and Islands,,,,,S92000003,80.5
2013,Percentage (%),,,,,"Inverclyde, East Renfrewshire and Renfrewshire",,,,,S92000003,82.4
2013,Percentage (%),,,,,North Lanarkshire,,,,,S12000044,72.9
2013,Percentage (%),,,,,Perth  Kinross and Stirling,,,,,S92000003,87.6
2013,Percentage (%),,,,,Scottish Borders,,,,,S12000026,86.3
2013,Percentage (%),,,,,South Ayrshire,,,,,S12000028,83.7
2013,Percentage (%),,,,,South Lanarkshire,,,,,S12000029,86.5
2013,Percentage (%),,,,,West Lothian,,,,,S12000040,88.8
2013,Percentage (%),,,Scotland,,,,,,,S92000003,82.6
2013,Percentage (%),,,,,Berkshire,,,,,E12000008,89.2
2013,Percentage (%),,,,,Brighton and Hove,,,,,E06000043,91.1
2013,Percentage (%),,,,Buckinghamshire,,,,,,E10000002,90.3
2013,Percentage (%),,,,,East Sussex CC,,,,,E12000008,80.3
2013,Percentage (%),,,,,Isle of Wight,,,,,E06000046,85.9
2013,Percentage (%),,,,,Medway,,,,,E06000035,83.7
2013,Percentage (%),,,,,Milton Keynes,,,,,E06000042,89.0
2013,Percentage (%),,,,,Oxfordshire,,,,,E12000008,87.0
2013,Percentage (%),,,,,Portsmouth,,,,,E06000044,83.2
2013,Percentage (%),,,,,Southampton,,,,,E06000045,86.2
2013,Percentage (%),,,South East,,,,,,,E12000008,86.6
2013,Percentage (%),,,,,"Bath and North East Somerset, North Somerset and South Gloucestershire",,,,,E12000009,86.1
2013,Percentage (%),,,,,Bournemouth and Poole,,,,,E12000009,79.2
2013,Percentage (%),,,,,Bristol,,,,,E06000023,85.0
2013,Percentage (%),,,,,Cornwall and Isles of Scilly,,,,,E12000009,81.6
2013,Percentage (%),,,,,Devon CC,,,,,E12000009,83.9
2013,Percentage (%),,,,,Dorset CC,,,,,E12000009,78.6
2013,Percentage (%),,,,,Gloucestershire,,,,,E12000009,83.9
2013,Percentage (%),,,,,Plymouth,,,,,E06000026,83.5
2013,Percentage (%),,,,,Somerset,,,,,E12000009,82.0
2013,Percentage (%),,,,,Swindon,,,,,E06000030,89.5
2013,Percentage (%),,,,,Torbay,,,,,E06000027,84.1
2013,Percentage (%),,,,,Wiltshire,,,,,E06000054,88.6
2013,Percentage (%),,,South West,,,,,,,E12000009,83.7
2013,Percentage (%),,,,,Bridgend and Neath Port Talbot,,,,,W92000004,78.8
2013,Percentage (%),,,,,Cardiff and Vale of Glamorgan,,,,,W92000004,84.7
2013,Percentage (%),,,,,Central Valleys,,,,,W92000004,74.3
2013,Percentage (%),,,,,Conwy and Denbighshire,,,,,W92000004,78.8
2013,Percentage (%),,,,,Flintshire and Wrexham,,,,,W92000004,80.3
2013,Percentage (%),,,,,Gwent,,,,,W92000004,74.7
2013,Percentage (%),,,,,Gwynedd,,,,,W06000002,84.6
2013,Percentage (%),,,,,Isle of Anglesey,,,,,W06000001,68.8
2013,Percentage (%),,,,,Monmouthshire and Newport,,,,,W92000004,85.4
2013,Percentage (%),,,,,Powys,,,,,W06000023,79.9
2013,Percentage (%),,,,,Pembrokeshire,,,,,W06000009,72.8
2013,Percentage (%),,,,,Swansea,,,,,W06000011,83.6
2013,Percentage (%),,,Wales,,,,,,,W92000004,79.1
2013,Percentage (%),,,,,Birmingham,,,,,E08000025,77.4
2013,Percentage (%),,,,,Coventry,,,,,E08000026,78.8
2013,Percentage (%),,,,,Herefordshire,,,,,E06000019,72.0
2013,Percentage (%),,,,,Shropshire CC,,,,,E12000005,80.3
2013,Percentage (%),,,,,Solihull,,,,,E08000029,83.5
2013,Percentage (%),,,,,Staffordshire CC,,,,,E12000005,82.2
2013,Percentage (%),,,,,Stoke-on-Trent,,,,,E06000021,73.8
2013,Percentage (%),,,,,Telford and Wrekin,,,,,E06000020,87.9
2013,Percentage (%),,,,,Warwickshire,,,,,E12000005,80.4
2013,Percentage (%),,,,Worcestershire,,,,,,E10000034,85.7
2013,Percentage (%),,,West Midlands,,,,,,,E12000005,79.6
2013,Percentage (%),,,,,"Barnsley, Doncaster and Rotherham",,,,,,79.2
2013,Percentage (%),,,,,Bradford,,,,,E08000032,83.8
2013,Percentage (%),,,,,East Riding of Yorkshire,,,,,E06000011,83.9
2013,Percentage (%),,,,,Kingston upon Hull,,,,,E06000010,80.4
2013,Percentage (%),,,,,Leeds,,,,,E08000035,82.3
2013,Percentage (%),,,,,North and North East Lincolnshire,,,,,,78.2
2013,Percentage (%),,,,North Yorkshire,,,,,,E10000023,82.7
2013,Percentage (%),,,,,Sheffield,,,,,E08000019,82.1
2013,Percentage (%),,,,,York,,,,,E06000014,91.8
2013,Percentage (%),,,Yorkshire and the Humber,,,,,,,,82.4
2013,Percentage (%),,,,,,,Asian/Asian British,Bangladeshi,,,82.5
2013,Percentage (%),,,,,,,Black/African/Caribbean/Black British,,,,86.2
2013,Percentage (%),,,,,,,Asian/Asian British,Chinese,,,93.6
2013,Percentage (%),,,,,,,Asian/Asian British,Indian,,,84.2
2013,Percentage (%),,,,,,,Mixed/multiple ethnic groups,,,,95.1
2013,Percentage (%),,,,,,,Asian/Asian British,Any other Asian background,,,91.3
2013,Percentage (%),,,,,,,Other ethnic group,,,,87.9
2013,Percentage (%),,,,,,,Asian/Asian British,Pakistani,,,79.5
2013,Percentage (%),,,,,,,White,,,,82.9
2013,Percentage (%),,,,,,,,,Employed,,95.6
2013,Percentage (%),,,,,,,,,Government employment & training programmes,,92.2
2013,Percentage (%),,,,,,,,,Inactive,,75.6
2013,Percentage (%),,,,,,,,,Retired,,48.1
2013,Percentage (%),,,,,,,,,Self-employed,,92.8
2013,Percentage (%),,,,,,,,,Student,,99.0
2013,Percentage (%),,,,,,,,,Unemployed,,92.6
2013,Percentage (%),,,,,,,,,Unpaid family worker,,83.4
2013,Percentage (%),,,,,,,,,,,83.3
2014,Percentage (%),Female,16 to 24,,,,,,,,,99.0
2014,Percentage (%),Female,25 to 34,,,,,,,,,98.4
2014,Percentage (%),Female,35 to 44,,,,,,,,,96.6
2014,Percentage (%),Female,45 to 54,,,,,,,,,92.6
2014,Percentage (%),Female,55 to 64,,,,,,,,,83.0
2014,Percentage (%),Female,65 to 74,,,,,,,,,62.3
2014,Percentage (%),Female,75 and over,,,,,,,,,25.1
2014,Percentage (%),Female,,,,,,,,,,83.0
2014,Percentage (%),Male,16 to 24,,,,,,,,,98.7
2014,Percentage (%),Male,25 to 34,,,,,,,,,98.3
2014,Percentage (%),Male,35 to 44,,,,,,,,,96.7
2014,Percentage (%),Male,45 to 54,,,,,,,,,91.9
2014,Percentage (%),Male,55 to 64,,,,,,,,,85.4
2014,Percentage (%),Male,65 to 74,,,,,,,,,68.9
2014,Percentage (%),Male,75 and over,,,,,,,,,41.1
2014,Percentage (%),Male,,,,,,,,,,87.1
2014,Percentage (%),,16 to 24,,,,Equality Act disabled,,,,,95.7
2014,Percentage (%),,16 to 24,,,,Not Equality Act disabled,,,,,99.2
2014,Percentage (%),,16 to 24,,,,,,,,,98.9
2014,Percentage (%),,25 to 34,,,,Equality Act disabled,,,,,94.0
2014,Percentage (%),,25 to 34,,,,Not Equality Act disabled,,,,,98.8
2014,Percentage (%),,25 to 34,,,,,,,,,98.3
2014,Percentage (%),,35 to 44,,,,Equality Act disabled,,,,,89.9
2014,Percentage (%),,35 to 44,,,,Not Equality Act disabled,,,,,97.9
2014,Percentage (%),,35 to 44,,,,,,,,,96.7
2014,Percentage (%),,45 to 54,,,,Equality Act disabled,,,,,80.9
2014,Percentage (%),,45 to 54,,,,Not Equality Act disabled,,,,,95.0
2014,Percentage (%),,45 to 54,,,,,,,,,92.3
2014,Percentage (%),,55 to 64,,,,Equality Act disabled,,,,,72.3
2014,Percentage (%),,55 to 64,,,,Not Equality Act disabled,,,,,88.9
2014,Percentage (%),,55 to 64,,,,,,,,,84.2
2014,Percentage (%),,65 to 74,,,,Equality Act disabled,,,,,55.4
2014,Percentage (%),,65 to 74,,,,Not Equality Act disabled,,,,,71.2
2014,Percentage (%),,65 to 74,,,,,,,,,65.5
2014,Percentage (%),,75 and over,,,,Equality Act disabled,,,,,25.8
2014,Percentage (%),,75 and over,,,,Not Equality Act disabled,,,,,39.3
2014,Percentage (%),,75 and over,,,,,,,,,31.9
2014,Percentage (%),,,,,Derby,,,,,E06000015,81.9
2014,Percentage (%),,,,,East Derbyshire,,,,,E12000004,83.9
2014,Percentage (%),,,,,Leicester,,,,,E06000016,84.1
2014,Percentage (%),,,,,Leicestershire CC and Rutland,,,,,E12000004,82.1
2014,Percentage (%),,,,,Lincolnshire,,,,,E12000004,80.2
2014,Percentage (%),,,,,North Nottinghamshire,,,,,E10000024,85.4
2014,Percentage (%),,,,,Nottingham,,,,,E06000018,74.4
2014,Percentage (%),,,,,South and West Derbyshire,,,,,E12000004,85.9
2014,Percentage (%),,,,,South Nottinghamshire,,,,,E10000024,85.7
2014,Percentage (%),,,East Midlands,,,,,,,E12000004,82.9
2014,Percentage (%),,,,,Cambridgeshire CC,,,,,E12000006,91.7
2014,Percentage (%),,,,,Hertfordshire,,,,,E12000006,90.6
2014,Percentage (%),,,,,Luton,,,,,E06000032,86.1
2014,Percentage (%),,,,,Peterborough,,,,,E06000031,88.8
2014,Percentage (%),,,,,Southend-on-Sea,,,,,E06000033,90.7
2014,Percentage (%),,,,,Suffolk,,,,,E12000006,82.4
2014,Percentage (%),,,,,Thurrock,,,,,E06000034,92.0
2014,Percentage (%),,,East of England,,,,,,,E12000006,87.0
2014,Percentage (%),,,London,,,,,,,E12000007,88.3
2014,Percentage (%),,,,,Darlington,,,,,E06000005,85.2
2014,Percentage (%),,,,,County Durham,,,,,E06000047,78.9
2014,Percentage (%),,,,,Hartlepool and Stockton-on-Tees,,,,,E12000001,78.9
2014,Percentage (%),,,,,Northumberland,,,,,E06000057,79.5
